PART_name,Tier,Category,SSS Category,Resource-1,Resource-2,Resource-3,
bluedog_ATDA_VHFAntenna,6,Communication,comms,,,,"@PART[bluedog_ATDA_VHFAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms6

}"
bluedog_GATV_LBandAntenna,6,Communication,comms,SolidFuel:1_3,,,"@PART[bluedog_GATV_LBandAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms6

}"
bluedog_GATV_SpiralAntenna,6,Communication,comms,ElectricCharge:10,MonoPropellant:0_5,,"@PART[bluedog_GATV_SpiralAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms6

}"
bluedog_Gemini_DipoleAntenna,6,Communication,comms,,,,"@PART[bluedog_Gemini_DipoleAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms6

}"
bluedog_Gemini_DockingAntenna_Fixed,6,Communication,comms,,,,"@PART[bluedog_Gemini_DockingAntenna_Fixed]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms6

}"
bluedog_Gemini_DockingAntenna_Rotating,6,Communication,comms,,,,"@PART[bluedog_Gemini_DockingAntenna_Rotating]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms6

}"
bluedog_Gemini_DoubleXAntenna,6,Communication,comms,,,,"@PART[bluedog_Gemini_DoubleXAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms6

}"
bluedog_Gemini_UHFAntenna,6,Communication,comms,ElectricCharge:1000,MonoPropellant:15,,"@PART[bluedog_Gemini_UHFAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms6

}"
bluedog_Gemini_WhipAntenna,6,Communication,comms,,,,"@PART[bluedog_Gemini_WhipAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms6

}"
bluedog_Helios_Dish,6,Communication,comms,,,,"@PART[bluedog_Helios_Dish]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms6

}"
bluedog_Titan_Transtage_Antenna,6,Communication,comms,,,,"@PART[bluedog_Titan_Transtage_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms6

}"
bluedog_Agena_SOT_GuidanceArray,7,Communication,comms,,,,"@PART[bluedog_Agena_SOT_GuidanceArray]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_Gemini_LunarRecon_Antenna,7,Communication,comms,,,,"@PART[bluedog_Gemini_LunarRecon_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_Gemini_LunarRecon_Dish,7,Communication,comms,,,,"@PART[bluedog_Gemini_LunarRecon_Dish]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_Hexagon_VHF_Bent,7,Communication,comms,,,,"@PART[bluedog_Hexagon_VHF_Bent]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_Hexagon_VHF_Straight,7,Communication,comms,,,,"@PART[bluedog_Hexagon_VHF_Straight]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_mariner10_highGainAntenna,7,Communication,comms,,,,"@PART[bluedog_mariner10_highGainAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_mariner10_lowGainAntenna,7,Communication,comms,,,,"@PART[bluedog_mariner10_lowGainAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_MOL_rackDish,7,Communication,comms,,,,"@PART[bluedog_MOL_rackDish]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_MOL_TrackingAntenna,7,Communication,comms,,,,"@PART[bluedog_MOL_TrackingAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_Strawman_Harvester,7,Communication,comms,,,,"@PART[bluedog_Strawman_Harvester]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_Strawman_Harvester_Standalone_Antenna,7,Communication,comms,SolidFuel:1,,,"@PART[bluedog_Strawman_Harvester_Standalone_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_Strawman_Reaper,7,Communication,comms,ElectricCharge:600,,,"@PART[bluedog_Strawman_Reaper]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_Strawman_Starfish_Big_Antenna,7,Communication,comms,MonoPropellant:10,,,"@PART[bluedog_Strawman_Starfish_Big_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_Strawman_Starfish_Small_Antenna,7,Communication,comms,,,,"@PART[bluedog_Strawman_Starfish_Small_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_Strawman_Thresher_Antenna,7,Communication,comms,,,,"@PART[bluedog_Strawman_Thresher_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms7

}"
bluedog_Apollo_Block2_HGA,8,Communication,comms,MonoPropellant:6,,,"@PART[bluedog_Apollo_Block2_HGA]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms8

}"
bluedog_LEM_Ascent_Antenna1,8,Communication,comms,,,,"@PART[bluedog_LEM_Ascent_Antenna1]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms8

}"
bluedog_LEM_Ascent_Antenna2,8,Communication,comms,,,,"@PART[bluedog_LEM_Ascent_Antenna2]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms8

}"
bluedog_scimitar,8,Communication,comms,,,,"@PART[bluedog_scimitar]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms8

}"
bluedog_Skylab_DisconeAntenna,8,Communication,comms,,,,"@PART[bluedog_Skylab_DisconeAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms8

}"
bluedog_Apollo_Block3_HGA,9,Communication,comms,,,,"@PART[bluedog_Apollo_Block3_HGA]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms9

}"
bluedog_Apollo_Block5_HGA,9,Communication,comms,,,,"@PART[bluedog_Apollo_Block5_HGA]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms9

}"
bluedog_Saturn_VFB_Dish,9,Communication,comms,SolidFuel:211,,,"@PART[bluedog_Saturn_VFB_Dish]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms9

}"
bluedog_LOantenna,?,none,comms,MonoPropellant:6,,,"@PART[bluedog_LOantenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms?

}"
bluedog_LOdish,?,none,comms,LiquidFuel:2_7,Oxidizer:3_3,,"@PART[bluedog_LOdish]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms?

}"
bluedog_Decoupler_0p625m,1,Coupling,construction,,,,"@PART[bluedog_Decoupler_0p625m]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction1

}"
bluedog_Decoupler_0p9375m,1,Coupling,construction,,,,"@PART[bluedog_Decoupler_0p9375m]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction1

}"
bluedog_FairingBase_0p625m,1,Payload,construction,,,,"@PART[bluedog_FairingBase_0p625m]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction1

}"
bluedog_FairingBase_0p625m_SAF,1,Payload,construction,,,,"@PART[bluedog_FairingBase_0p625m_SAF]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction1

}"
bluedog_FairingBase_0p9375m,1,Payload,construction,,,,"@PART[bluedog_FairingBase_0p9375m]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction1

}"
bluedog_FairingBase_0p9375m_Static,1,Payload,construction,,,,"@PART[bluedog_FairingBase_0p9375m_Static]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction1

}"
BDB_FASAlaunchClamp125,2,Structural,construction,,,,"@PART[BDB_FASAlaunchClamp125]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction2

}"
bluedog_Decoupler_0p125m,2,Coupling,construction,,,,"@PART[bluedog_Decoupler_0p125m]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction2

}"
bluedog_Decoupler_1p25m,2,Coupling,construction,,,,"@PART[bluedog_Decoupler_1p25m]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction2

}"
bluedog_FairingBase_1p25m,2,Payload,construction,ElectricCharge:0,,,"@PART[bluedog_FairingBase_1p25m]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction2

}"
bluedog_Juno1_Nose,2,Structural,construction,MonoPropellant:120,,,"@PART[bluedog_Juno1_Nose]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction2

}"
bluedog_Sergeant_11x_Decoupler,2,Coupling,construction,,,,"@PART[bluedog_Sergeant_11x_Decoupler]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction2

}"
bluedog_Sergeant_3x_Decoupler,2,Coupling,construction,,,,"@PART[bluedog_Sergeant_3x_Decoupler]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction2

}"
bluedog_Vanguard_S1_Interstage,2,Coupling,construction,,,,"@PART[bluedog_Vanguard_S1_Interstage]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction2

}"
bluedog_Vanguard_S2_LongProbeDecoupler,2,Coupling,construction,,,,"@PART[bluedog_Vanguard_S2_LongProbeDecoupler]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction2

}"
bluedog_Vanguard_S2_ShortProbeDecoupler,2,Coupling,construction,,,,"@PART[bluedog_Vanguard_S2_ShortProbeDecoupler]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction2

}"
bluedog_VanguardFairing_SAF,2,Payload,construction,,,,"@PART[bluedog_VanguardFairing_SAF]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction2

}"
BDB_FASAlaunchClampAtlas,3,Structural,construction,,,,"@PART[BDB_FASAlaunchClampAtlas]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Ablestar_Fairing_SAF,3,Payload,construction,,,,"@PART[bluedog_Ablestar_Fairing_SAF]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Decoupler_1p5m,3,Coupling,construction,,,,"@PART[bluedog_Decoupler_1p5m]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Delta2_metalFairing_SAF,3,Payload,construction,,,,"@PART[bluedog_Delta2_metalFairing_SAF]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_FairingBase_1p5m,3,Payload,construction,,,,"@PART[bluedog_FairingBase_1p5m]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_FairingBase_1p5m_SAF,3,Payload,construction,,,,"@PART[bluedog_FairingBase_1p5m_SAF]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Juno2FairingBase,3,Payload,construction,,,,"@PART[bluedog_Juno2FairingBase]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Juno4_EngineMount,3,Structural,construction,,,,"@PART[bluedog_Juno4_EngineMount]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Juno4_FairingBase_0p9375,3,Payload,construction,,,,"@PART[bluedog_Juno4_FairingBase_0p9375]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Juno4_FairingBase_1p25m,3,Payload,construction,,,,"@PART[bluedog_Juno4_FairingBase_1p25m]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Juno4_Interstage,3,Coupling,construction,,,,"@PART[bluedog_Juno4_Interstage]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Jupiter_EngineMount,3,Structural,construction,,,,"@PART[bluedog_Jupiter_EngineMount]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Pioneer6_ServiceModule,3,Utility,construction,,,,"@PART[bluedog_Pioneer6_ServiceModule]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_PioneerAble_Adapter,3,Coupling,construction,,,,"@PART[bluedog_PioneerAble_Adapter]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_PSM_0p3125m_HighProfile,3,Coupling,construction,,,,"@PART[bluedog_PSM_0p3125m_HighProfile]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_PSM_0p3125m_LowProfile,3,Coupling,construction,,,,"@PART[bluedog_PSM_0p3125m_LowProfile]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_PSM_0p3125m_MediumProfile,3,Coupling,construction,,,,"@PART[bluedog_PSM_0p3125m_MediumProfile]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_PSM_0p625m_HighProfile,3,Coupling,construction,SolidFuel:296,,,"@PART[bluedog_PSM_0p625m_HighProfile]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_PSM_0p625m_LowProfile,3,Coupling,construction,SolidFuel:296,,,"@PART[bluedog_PSM_0p625m_LowProfile]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_PSM_0p625m_MediumProfile,3,Coupling,construction,SolidFuel:431,,,"@PART[bluedog_PSM_0p625m_MediumProfile]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_RadialDecoupler_Medium,3,Coupling,construction,SolidFuel:4,,,"@PART[bluedog_RadialDecoupler_Medium]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_RadialDecoupler_Mini,3,Coupling,construction,SolidFuel:4,,,"@PART[bluedog_RadialDecoupler_Mini]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Sparta_0p625mAdapter,3,Coupling,construction,,,,"@PART[bluedog_Sparta_0p625mAdapter]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Sparta_0p625mInterstage,3,Coupling,construction,,,,"@PART[bluedog_Sparta_0p625mInterstage]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Thor_0p9375mAdapter,3,Coupling,construction,,,,"@PART[bluedog_Thor_0p9375mAdapter]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Thor_0p9375mInterstage,3,Coupling,construction,,,,"@PART[bluedog_Thor_0p9375mInterstage]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Thor_1p25mAdapter_Short,3,Structural,construction,ElectricCharge:0,,,"@PART[bluedog_Thor_1p25mAdapter_Short]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Thor_AbleAdapter,3,Structural,construction,,,,"@PART[bluedog_Thor_AbleAdapter]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_Thor_EngineMount,3,Structural,construction,,,,"@PART[bluedog_Thor_EngineMount]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
bluedog_ThorDelta_Interstage,3,Coupling,construction,,,,"@PART[bluedog_ThorDelta_Interstage]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction3

}"
BDB_FASAlaunchClamp25,4,Structural,construction,ElectricCharge:200,,,"@PART[BDB_FASAlaunchClamp25]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
bluedog_1875_NoseSep,4,Engine,construction,ElectricCharge:50,,,"@PART[bluedog_1875_NoseSep]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
bluedog_1875_RadialDecoupler,4,Coupling,construction,,,,"@PART[bluedog_1875_RadialDecoupler]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
bluedog_1875_RadialSep,4,Engine,construction,,,,"@PART[bluedog_1875_RadialSep]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
bluedog_Agena_AInterstage,4,Coupling,construction,,,,"@PART[bluedog_Agena_AInterstage]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
bluedog_Agena_Decoupler_LunarOrbiter,4,Coupling,construction,ElectricCharge:0,,,"@PART[bluedog_Agena_Decoupler_LunarOrbiter]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
bluedog_Agena_EngineMount,4,Structural,construction,ElectricCharge:50,,,"@PART[bluedog_Agena_EngineMount]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
bluedog_Agena_EngineShroud,4,Control,construction,ElectricCharge:150,MonoPropellant:30,,"@PART[bluedog_Agena_EngineShroud]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
bluedog_Agena_SAC,4,Payload,construction,,,,"@PART[bluedog_Agena_SAC]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
bluedog_Agena_StandardFairingBase,4,Payload,construction,ElectricCharge:100,,,"@PART[bluedog_Agena_StandardFairingBase]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
bluedog_Agena_StraightInterstage,4,Coupling,construction,,,,"@PART[bluedog_Agena_StraightInterstage]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
bluedog_AgenaB_FairingBase_Ranger,4,Payload,construction,,,,"@PART[bluedog_AgenaB_FairingBase_Ranger]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
bluedog_AgenaB_FairingBase_Ranger_SAF,4,Payload,construction,,,,"@PART[bluedog_AgenaB_FairingBase_Ranger_SAF]:AFTER[Bluedog_DB] //
{
	@TechRequired = construction4

}"
