PART.name,Tier,Category,SSS Category,Resource-1,Resource-2,Resource-3
turboFanSize2,,Engine,Commerical Aviation,IntakeAir:3.4,MonoPropellant:10,
turboFanEngine,,Engine,Commerical Aviation,,MonoPropellant:25,
HighGainAntenna,,Communication,Comms,,MonoPropellant:15,
commDish,,Communication,Comms,,,
mediumDishAntenna,,Communication,Comms,,MonoPropellant:40,
longAntenna,,Communication,Comms,,MonoPropellant:40,
SurfAntenna,,Communication,Comms,,MonoPropellant:100,
HighGainAntenna5,,none,Comms,,,
HighGainAntenna5.v2,,Communication,Comms,,XenonGas:3800,
RelayAntenna100,,Communication,Comms,,,
RelayAntenna5,,Communication,Comms,,,
RelayAntenna50,,Communication,Comms,,,
noseCone,2,Aero,Construction,,,
pointyNoseConeA,2,Aero,Construction,,,
pointyNoseConeB,2,Aero,Construction,,,
noseConeAdapter,,Propulsion,Construction,LiquidFuel:80,,
rocketNoseCone.v2,,none,Construction,,,
rocketNoseCone.v3,,Aero,Construction,,,
rocketNoseConeSize3,,Aero,Construction,,,
standardNoseCone,,Aero,Construction,,,
fairingSize1,2,Payload,Construction,,,
fairingSize2,5,Payload,Construction,,,
fairingSize3,6,Payload,Construction,,,
strutConnector,0,Structural,Construction,,,
Decoupler.0,1,Coupling,Construction,,,
Decoupler.1,2,Coupling,Construction,,,
Decoupler.2,5,Coupling,Construction,,,
Decoupler.3,6,Coupling,Construction,,,
Separator.0,1,Coupling,Construction,,,
Separator.1,2,Coupling,Construction,,,
Separator.2,5,Coupling,Construction,,,
Separator.3,6,Coupling,Construction,,,
adapterSmallMiniShort,,Structural,Construction,,,
adapterSmallMiniTall,,Structural,Construction,,,
adapterLargeSmallBi,,Structural,Construction,,,
adapterLargeSmallQuad,,Structural,Construction,,,
adapterLargeSmallTri,,Structural,Construction,,,
structuralIBeam2,3,Structural,Construction,,,
structuralIBeam3,3,Structural,Construction,,,
structuralIBeam1,3,Structural,Construction,,,
structuralMiniNode,3,Structural,Construction,,,
structuralPanel1,3,Structural,Construction,,,
structuralPanel2,3,Structural,Construction,,,
smallHardpoint,3,Structural,Construction,,,
structuralPylon,3,Structural,Construction,,,
strutCube,3,Structural,Construction,,,
strutOcto,3,Structural,Construction,,,
trussAdapter,3,Structural,Construction,,,
trussPiece1x,3,Structural,Construction,,,
trussPiece3x,3,Structural,Construction,,,
radialDecoupler1-2,S,Coupling,Construction,,,
radialDecoupler,,Coupling,Construction,,,
radialDecoupler2,,Coupling,Construction,,,
dockingPort2,,Coupling,Construction,,,
dockingPortLateral,,Coupling,Construction,,,
dockingPort3,,Coupling,Construction,,,
dockingPort1,,Coupling,Construction,,,
dockingPortLarge,,Coupling,Construction,,,
launchClamp1,,Structural,Construction,,,
mk2DockingPort,,Coupling,Construction,MonoPropellant:75,,
stackPoint1,,Structural,Construction,,,
largeAdapter,,Structural,Construction,,,
largeAdapter2,,Structural,Construction,,,
ServiceBay.125.v2,,Payload,Construction,,,
ServiceBay.250.v2,,Payload,Construction,,,
stackBiCoupler.v2,,Structural,Construction,,,
stackQuadCoupler,,Structural,Construction,,,
stackTriCoupler.v2,,Structural,Construction,,,
basicFin,,Aero,Control,,,
avionicsNoseCone,,Control,Control,,,
R8winglet,,Aero,Control,,,
winglet,,Aero,Control,,,
winglet3,,Aero,Control,,,
asasmodule1-2,,Control,Control,,Oxidizer:3520,
advSasModule,,Control,Control,,Oxidizer:3520,
sasModule,,Control,Control,,,
linearRcs,,Control,Control,,,
vernierEngine,,Control,Control,,,
RCSBlock.v2,,Control,Control,,,
RCSblock.01.small,,Control,Control,,,
RCSLinearSmall,,Control,Control,,,
toroidalAerospike,,Engine,Cryogenic Engines,,,
engineLargeSkipper.v2,,Engine,Cryogenic Engines,,,
SSME,8,Engine,Cryogenic Engines,,,
Size3AdvancedEngine,,Engine,Cryogenic Engines,,,
Size3EngineCluster,,Engine,Cryogenic Engines,,,
batteryPack,,Electrical,Electrics,ElectricCharge:100,,
batteryBank,,Electrical,Electrics,ElectricCharge:1000,,
batteryBankMini,,Electrical,Electrics,ElectricCharge:200,,
ksp.r.largeBatteryPack,,Electrical,Electrics,ElectricCharge:400,,
batteryBankLarge,,Electrical,Electrics,ElectricCharge:4000,,
FuelCell,,Electrical,Electrics,ElectricCharge:50,,
FuelCellArray,,Electrical,Electrics,ElectricCharge:300,,
domeLight1,,Utility,Electrics,,,
groundLight1,,Cargo,Electrics,,,
groundLight2,,Cargo,Electrics,,,
navLight1,,Utility,Electrics,,,
spotLight3,,Utility,Electrics,,,
stripLight1,,Utility,Electrics,,,
spotLight1,,none,Electrics,,,
spotLight1.v2,,Utility,Electrics,,,
spotLight2,,none,Electrics,,,
spotLight2.v2,,Utility,Electrics,,,
liquidEngineMini.v2,,Engine,Hypergolic Engines,,,
radialEngineMini.v2,,Engine,Hypergolic Engines,,,
microEngine.v2,,Engine,Hypergolic Engines,,,
omsEngine,,Engine,Hypergolic Engines,,,
ionEngine,7,Engine,Ions,,,
xenonTank,,FuelTank,Ions,XenonGas:720,,
xenonTankLarge,,FuelTank,Ions,XenonGas:5700,,
xenonTankRadial,,FuelTank,Ions,XenonGas:405,,
ISRU,,Utility,ISRU,,,
LargeTank,,FuelTank,ISRU,Ore:1500,,
MiniDrill,,Utility,ISRU,,,
MiniISRU,,Utility,ISRU,,,
RadialDrill,,Utility,ISRU,,,
RadialOreTank,,FuelTank,ISRU,Ore:75,,
SmallTank,,FuelTank,ISRU,Ore:300,,
GrapplingDevice,,Coupling,ISRU,,,
smallClaw,,Coupling,ISRU,,,
smallRadialEngine,,none,Kerosene Engines,,,
smallRadialEngine.v2,,Engine,Kerosene Engines,,,
liquidEngine3.v2,,Engine,Kerosene Engines,,,
liquidEngine,,none,Kerosene Engines,,,
liquidEngine.v2,,Engine,Kerosene Engines,,,
liquidEngine2,,none,Kerosene Engines,,,
liquidEngine2.v2,,Engine,Kerosene Engines,,,
liquidEngineMainsail.v2,,Engine,Kerosene Engines,,,
radialLiquidEngine1-2,,Engine,Kerosene Engines,,,
liquidEngine2-2.v2,,Engine,Kerosene Engines,,,
Size2LFB,,none,Kerosene Engines,LiquidFuel:2880,,
Size2LFB.v2,,Engine,Kerosene Engines,LiquidFuel:2880,,
HeatShield0,1,Thermal,Landing,Ablator:50,,
HeatShield1,2,Thermal,Landing,Ablator:200,,
HeatShield2,4,Thermal,Landing,Ablator:800,,
HeatShield3,6,Thermal,Landing,Ablator:1800,,
InflatableHeatShield,9,Thermal,Landing,,,
landerCabinSmall,,Pods,Landing,ElectricCharge:50,,
mk2LanderCabin,,none,Landing,ElectricCharge:100,,
mk2LanderCabin.v2,,Pods,Landing,ElectricCharge:100,,
landingLeg1,,Ground,Landing,,,
landingLeg1-2,,Ground,Landing,,,
miniLandingLeg,,Ground,Landing,,,
parachuteSingle,,Utility,Landing,,,
radialDrogue,,Utility,Landing,,,
parachuteLarge,,Utility,Landing,,,
parachuteRadial,,Utility,Landing,,,
parachuteDrogue,,Utility,Landing,,,
ConformalStorageUnit,,Cargo,Logistcs,,,
cargoContainer,,Cargo,Logistics,,,
smallCargoContainer,,Cargo,Logistics,,,
evaCylinder,,Cargo,Logistics,EVA Propellant:3,,
evaJetpack,,Cargo,Logistics,EVA Propellant:5,,
evaChute,,Cargo,Logistics,,,
evaRepairKit,,Cargo,Logistics,,,
CargoStorageUnit,,Cargo,Logistics,,,
ladder1,,Utility,Logistics,,,
telescopicLadder,,Utility,Logistics,,,
telescopicLadderBay,,Utility,Logistics,,,
PotatoComet,,none,N/A,,,
PotatoRoid,,none,N/A,,,
rtg,6,Electrical,Nuclear Power,,,
nuclearEngine,,Engine,Nuclear Rockets,,LiquidFuel:40,
groundAnchor,,Cargo,Planetary Bases,,LiquidFuel:150,
MpoProbe,9,Pods,Probes,ElectricCharge:1000,,
MtmStage,9,Pods,Probes,ElectricCharge:4000,LiquidFuel:200,
probeCoreCube,,Pods,Probes,ElectricCharge:5.0,,
probeCoreHex,,none,Probes,ElectricCharge:10,,
probeCoreHex.v2,,Pods,Probes,ElectricCharge:10,,
probeCoreOcto2.v2,,Pods,Probes,ElectricCharge:5.0,,
probeCoreOcto.v2,,Pods,Probes,ElectricCharge:10,,
probeStackSmall,,Pods,Probes,ElectricCharge:15,,
probeCoreSphere.v2,,Pods,Probes,ElectricCharge:10,,
HECS2.ProbeCore,,Pods,Probes,ElectricCharge:1000,,
probeStackLarge,,Pods,Proes,ElectricCharge:30,,
roverBody,,none,Robotics,ElectricCharge:120,,
roverBody.v2,,Pods,Robotics,ElectricCharge:120,,
GearLarge,,Ground,Robotics,,,
GearFixed,,Ground,Robotics,,,
GearFree,,Ground,Robotics,,,
GearMedium,,Ground,Robotics,,,
GearSmall,,Ground,Robotics,,,
SmallGearBay,,Ground,Robotics,,,
roverWheel1,,Ground,Robotics,,,
roverWheel2,,Ground,Robotics,,,
wheelMed,,Ground,Robotics,,,
roverWheel3,,Ground,Robotics,,,
evaScienceKit,,Cargo,Science,,,
InfraredTelescope,,Science,Science,,,
OrbitalScanner,,Science,Science,,,
SurfaceScanner,,Science,Science,,,
SurveyScanner,,Science,Science,,,
sensorAtmosphere,,Science,Science,,,
GooExperiment,,Science,Science,,,
Large.Crewed.Lab,8,Science,Science,,,
Magnetometer,,Science,Science,,,
science.module,,Science,Science,,,
ScienceBox,,Science,Science,,,
sensorAccelerometer,,Science,Science,,,
sensorBarometer,0,Science,Science,,,
sensorGravimeter,,Science,Science,,,
sensorThermometer,0,Science,Science,,,
fireworksLauncherBig,0,Utility,Science,,,
fireworksLauncherSmall,0,Utility,Science,,,
solarPanelOX10C,,Electrical,Solar,,,
solarPanelSP10C,,Electrical,Solar,,,
solarPanelOX10L,,Electrical,Solar,,,
solarPanelSP10L,,Electrical,Solar,,,
solarPanels2,,Electrical,Solar,,,
solarPanels4,,Electrical,Solar,,,
solarPanels1,,Electrical,Solar,,,
solarPanels3,,Electrical,Solar,,,
largeSolarPanel,,Electrical,Solar,,,
solarPanels5,,Electrical,Solar,,,
LgRadialSolarPanel,,Electrical,Solar,,,
MassiveBooster,6,Engine,Solids,SolidFuel:2600,,
solidBooster.v2,2,Engine,Solids,SolidFuel:375,,
solidBooster.sm.v2,2,Engine,Solids,SolidFuel:140,,
solidBooster1-1,3,Engine,Solids,SolidFuel:820,,
Thoroughbred,7,Engine,Solids,SolidFuel:8000,,
Clydesdale,7,Engine,Solids,SolidFuel:16400,,
sepMotor1,3,Engine,Solids,SolidFuel:8,,
Shrimp,1,Engine,Solids,SolidFuel:90,,
Mite,0,Engine,Solids,SolidFuel:40,,
Mark2Cockpit,,Pods,Space Planes,ElectricCharge:50,,
mk2Cockpit.Inline,,Pods,Space Planes,ElectricCharge:150,,
mk2Cockpit.Standard,,Pods,Space Planes,ElectricCharge:150,,
mk2DroneCore,,Pods,Space Planes,ElectricCharge:250,,
mk3Cockpit.Shuttle,,Pods,Space Planes,ElectricCharge:500,,
turboJet,2,Engine,Space Planes,,,
miniJetEngine,1,Engine,Space Planes,,,
RAPIER,9,Engine,Space Planes,,,
cupola,8,Pods,Space Stations,ElectricCharge:200,,
stationHub,6,Structural,Space Stations,,,
fuelLine,3,FuelTank,Tanks,,,
adapterSize2-Size1,5,FuelTank,Tanks,,,
adapterSize2-Size1Slant,5,FuelTank,Tanks,,,
ReleaseValve,3,FuelTank,Tanks,,,
externalTankCapsule,3,Propulsion,Tanks,,,
externalTankRound,3,Propulsion,Tanks,,,
externalTankToroid,3,FuelTank,Tanks,,,
miniFuelTank,2,FuelTank,Aerodynamics,,,
miniFuselage,1,Propulsion,Tanks,LiquidFuel:50,,
RCSTank1-2,5,FuelTank,Tanks,MonoPropellant:750,,
rcsTankMini,3,FuelTank,Tanks,MonoPropellant:20,,
RCSFuelTank,4,FuelTank,Tanks,MonoPropellant:120,,
radialRCSTank,4,FuelTank,Tanks,MonoPropellant:20,,
rcsTankRadialLong,5,FuelTank,Tanks,MonoPropellant:50,,
Rockomax16.BW,6,FuelTank,Tanks,,,
Rockomax32.BW,5,FuelTank,Tanks,,,
Rockomax64.BW,5,FuelTank,Tanks,,,
Rockomax8BW,6,FuelTank,Tanks,,,
fuelTankSmallFlat,3,FuelTank,Tanks,,,
fuelTankSmall,3,FuelTank,Tanks,,,
fuelTank,2,FuelTank,Tanks,,,
fuelTank.long,2,FuelTank,Tanks,,,
Size3LargeTank,7,Propulsion,Tanks,,,
Size3MediumTank,7,Propulsion,Tanks,,,
Size3SmallTank,7,Propulsion,Tanks,,,
Size3To2Adapter.v2,7,FuelTank,Tanks,,,
foldingRadLarge,9,Thermal,Thermal,,,
foldingRadMed,8,Thermal,Thermal,,,
foldingRadSmall,7,Thermal,Thermal,,,
radPanelEdge,6,Thermal,Thermal,,,
radPanelLg,7,Thermal,Thermal,,,
radPanelSm,6,Thermal,Thermal,,,
