PART.name,SSS Category,Tier,Mod,Result,Category,
miniFuselage,aerodynamics,1,Squad,"@PART[miniFuselage]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Propulsion,
evaChute,aerodynamics,1,Squad,"@PART[evaChute]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Cargo,
Mark1Cockpit,aerodynamics,2,Squad,"@PART[Mark1Cockpit]:AFTER[Squad] //
{
	@TechRequired = aerodynamics2
}",Pods,
sweptWing1,aerodynamics,2,Squad,"@PART[sweptWing1]:AFTER[Squad] //
{
	@TechRequired = aerodynamics2
}",Aero,
sweptWing2,aerodynamics,2,Squad,"@PART[sweptWing2]:AFTER[Squad] //
{
	@TechRequired = aerodynamics2
}",Aero,
miniJetEngine,aerodynamics,2,Squad,"@PART[miniJetEngine]:AFTER[Squad] //
{
	@TechRequired = aerodynamics2
}",Engine,
MK1Fuselage,aerodynamics,2,Squad,"@PART[MK1Fuselage]:AFTER[Squad] //
{
	@TechRequired = aerodynamics2
}",FuelTank,
miniIntake,aerodynamics,2,Squad,"@PART[miniIntake]:AFTER[Squad] //
{
	@TechRequired = aerodynamics2
}",Aero,
Mk1FuselageStructural,aerodynamics,2,Squad,"@PART[Mk1FuselageStructural]:AFTER[Squad] //
{
	@TechRequired = aerodynamics2
}",Structural,
Mark2Cockpit,aerodynamics,3,Squad,"@PART[Mark2Cockpit]:AFTER[Squad] //
{
	@TechRequired = aerodynamics3
}",Pods,
MK1IntakeFuselage,aerodynamics,3,Squad,"@PART[MK1IntakeFuselage]:AFTER[Squad] //
{
	@TechRequired = aerodynamics3
}",Aero,
airbrake1,aerodynamics,5,Squad,"@PART[airbrake1]:AFTER[Squad] //
{
	@TechRequired = aerodynamics5
}",Aero,
airScoop,aerodynamics,5,Squad,"@PART[airScoop]:AFTER[Squad] //
{
	@TechRequired = aerodynamics5
}",Aero,
AdvancedCanard,aerodynamics,5,Squad,"@PART[AdvancedCanard]:AFTER[Squad] //
{
	@TechRequired = aerodynamics5
}",Aero,
CanardController,aerodynamics,5,Squad,"@PART[CanardController]:AFTER[Squad] //
{
	@TechRequired = aerodynamics5
}",Aero,
IntakeRadialLong,aerodynamics,5,Squad,"@PART[IntakeRadialLong]:AFTER[Squad] //
{
	@TechRequired = aerodynamics5
}",Aero,
noseConeAdapter,aerodynamics,5,Squad,"@PART[noseConeAdapter]:AFTER[Squad] //
{
	@TechRequired = aerodynamics5
}",Propulsion,
wingShuttleDelta,aerodynamics,8,Squad,"@PART[wingShuttleDelta]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",Aero,
wingShuttleElevon1,aerodynamics,8,Squad,"@PART[wingShuttleElevon1]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",Aero,
wingShuttleElevon2,aerodynamics,8,Squad,"@PART[wingShuttleElevon2]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",Aero,
wingShuttleRudder,aerodynamics,8,Squad,"@PART[wingShuttleRudder]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",Aero,
wingShuttleStrake,aerodynamics,8,Squad,"@PART[wingShuttleStrake]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",Aero,
adapterMk3-Size2,aerodynamics,8,Squad,"@PART[adapterMk3-Size2]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",FuelTank,
adapterMk3-Size2Slant,aerodynamics,8,Squad,"@PART[adapterMk3-Size2Slant]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",FuelTank,
adapterSize2-Mk2,aerodynamics,8,Squad,"@PART[adapterSize2-Mk2]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",FuelTank,
adapterSize3-Mk3,aerodynamics,8,Squad,"@PART[adapterSize3-Mk3]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",FuelTank,
mk3FuselageLFO.100,aerodynamics,8,Squad,"@PART[mk3FuselageLFO.100]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",FuelTank,
mk3FuselageLFO.25,aerodynamics,8,Squad,"@PART[mk3FuselageLFO.25]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",FuelTank,
mk3FuselageLFO.50,aerodynamics,8,Squad,"@PART[mk3FuselageLFO.50]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",FuelTank,
mk3FuselageLF.100,aerodynamics,8,Squad,"@PART[mk3FuselageLF.100]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",FuelTank,
mk3FuselageLF.25,aerodynamics,8,Squad,"@PART[mk3FuselageLF.25]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",FuelTank,
mk3FuselageLF.50,aerodynamics,8,Squad,"@PART[mk3FuselageLF.50]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",FuelTank,
mk3FuselageMONO,aerodynamics,8,Squad,"@PART[mk3FuselageMONO]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",FuelTank,
mk3CargoBayL,aerodynamics,8,Squad,"@PART[mk3CargoBayL]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",Payload,
mk3CargoBayM,aerodynamics,8,Squad,"@PART[mk3CargoBayM]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",Payload,
mk3CargoRamp,aerodynamics,8,Squad,"@PART[mk3CargoRamp]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",Payload,
mk3CargoBayS,aerodynamics,8,Squad,"@PART[mk3CargoBayS]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",Payload,
mk3Cockpit.Shuttle,aerodynamics,8,Squad,"@PART[mk3Cockpit.Shuttle]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",Pods,
mk3CrewCabin,aerodynamics,8,Squad,"@PART[mk3CrewCabin]:AFTER[Squad] //
{
	@TechRequired = aerodynamics8
}",Utility,
adapterMk3-Mk2,aerodynamics,9,Squad,"@PART[adapterMk3-Mk2]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",FuelTank,
mk2CargoBayL,aerodynamics,9,Squad,"@PART[mk2CargoBayL]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Payload,
mk2CargoBayS,aerodynamics,9,Squad,"@PART[mk2CargoBayS]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Payload,
mk2Cockpit.Inline,aerodynamics,9,Squad,"@PART[mk2Cockpit.Inline]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Pods,
mk2Cockpit.Standard,aerodynamics,9,Squad,"@PART[mk2Cockpit.Standard]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Pods,
mk2.1m.Bicoupler,aerodynamics,9,Squad,"@PART[mk2.1m.Bicoupler]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Propulsion,
mk2.1m.AdapterLong,aerodynamics,9,Squad,"@PART[mk2.1m.AdapterLong]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Propulsion,
mk2SpacePlaneAdapter,aerodynamics,9,Squad,"@PART[mk2SpacePlaneAdapter]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Propulsion,
mk2FuselageLongLFO,aerodynamics,9,Squad,"@PART[mk2FuselageLongLFO]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Propulsion,
mk2Fuselage,aerodynamics,9,Squad,"@PART[mk2Fuselage]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Propulsion,
mk2FuselageShortLFO,aerodynamics,9,Squad,"@PART[mk2FuselageShortLFO]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Propulsion,
mk2FuselageShortLiquid,aerodynamics,9,Squad,"@PART[mk2FuselageShortLiquid]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Propulsion,
mk2FuselageShortMono,aerodynamics,9,Squad,"@PART[mk2FuselageShortMono]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Propulsion,
mk2CrewCabin,aerodynamics,9,Squad,"@PART[mk2CrewCabin]:AFTER[Squad] //
{
	@TechRequired = aerodynamics9
}",Utility,
seatExternalCmd,aviation,1,Squad,"@PART[seatExternalCmd]:AFTER[Squad] //
{
	@TechRequired = aviation1
}",Pods,
GearFixed,aviation,2,Squad,"@PART[GearFixed]:AFTER[Squad] //
{
	@TechRequired = aviation2
}",Ground,
GearFree,aviation,2,Squad,"@PART[GearFree]:AFTER[Squad] //
{
	@TechRequired = aviation2
}",Ground,
MK1CrewCabin,aviation,3,Squad,"@PART[MK1CrewCabin]:AFTER[Squad] //
{
	@TechRequired = aviation3
}",Utility,
SmallGearBay,aviation,3,Squad,"@PART[SmallGearBay]:AFTER[Squad] //
{
	@TechRequired = aviation3
}",Ground,
CircularIntake,aviation,4,Squad,"@PART[CircularIntake]:AFTER[Squad] //
{
	@TechRequired = aviation4
}",Aero,
nacelleBody,aviation,4,Squad,"@PART[nacelleBody]:AFTER[Squad] //
{
	@TechRequired = aviation4
}",Aero,
JetEngine,aviation,4,Squad,"@PART[JetEngine]:AFTER[Squad] //
{
	@TechRequired = aviation4
}",Engine,
GearSmall,aviation,4,Squad,"@PART[GearSmall]:AFTER[Squad] //
{
	@TechRequired = aviation4
}",Ground,
GearMedium,aviation,5,Squad,"@PART[GearMedium]:AFTER[Squad] //
{
	@TechRequired = aviation5
}",Ground,
structuralPylon,aviation,5,Squad,"@PART[structuralPylon]:AFTER[Squad] //
{
	@TechRequired = aviation5
}",Structural,
airlinerCtrlSrf,aviation,6,Squad,"@PART[airlinerCtrlSrf]:AFTER[Squad] //
{
	@TechRequired = aviation6
}",Aero,
airlinerMainWing,aviation,6,Squad,"@PART[airlinerMainWing]:AFTER[Squad] //
{
	@TechRequired = aviation6
}",Aero,
airlinerTailFin,aviation,6,Squad,"@PART[airlinerTailFin]:AFTER[Squad] //
{
	@TechRequired = aviation6
}",Aero,
turboFanSize2,aviation,6,Squad,"@PART[turboFanSize2]:AFTER[Squad] //
{
	@TechRequired = aviation6
}",Engine,
GearLarge,aviation,6,Squad,"@PART[GearLarge]:AFTER[Squad] //
{
	@TechRequired = aviation6
}",Ground,
groundAnchor,bases,9,Squad,"@PART[groundAnchor]:AFTER[Squad] //
{
	@TechRequired = bases9
}",Cargo,
mk1pod.v2,capsules,5,Squad,"@PART[mk1pod.v2]:AFTER[Squad] //
{
	@TechRequired = capsules5
}",Pods,
mk1-3pod,capsules,8,Squad,"@PART[mk1-3pod]:AFTER[Squad] //
{
	@TechRequired = capsules8
}",Pods,
LaunchEscapeSystem,capsules,8,Squad,"@PART[LaunchEscapeSystem]:AFTER[Squad] //
{
	@TechRequired = capsules8
}",Utility,
longAntenna,comms,1,Squad,"@PART[longAntenna]:AFTER[Squad] //
{
	@TechRequired = comms1
}",Communication,
mediumDishAntenna,comms,3,Squad,"@PART[mediumDishAntenna]:AFTER[Squad] //
{
	@TechRequired = comms3
}",Communication,
RelayAntenna5,comms,4,Squad,"@PART[RelayAntenna5]:AFTER[Squad] //
{
	@TechRequired = comms4
}",Communication,
HighGainAntenna,comms,5,Squad,"@PART[HighGainAntenna]:AFTER[Squad] //
{
	@TechRequired = comms5
}",Communication,
HighGainAntenna5.v2,comms,5,Squad,"@PART[HighGainAntenna5.v2]:AFTER[Squad] //
{
	@TechRequired = comms5
}",Communication,
commDish,comms,6,Squad,"@PART[commDish]:AFTER[Squad] //
{
	@TechRequired = comms6
}",Communication,
RelayAntenna50,comms,6,Squad,"@PART[RelayAntenna50]:AFTER[Squad] //
{
	@TechRequired = comms6
}",Communication,
RelayAntenna100,comms,7,Squad,"@PART[RelayAntenna100]:AFTER[Squad] //
{
	@TechRequired = comms7
}",Communication,
Decoupler.0,construction,1,Squad,"@PART[Decoupler.0]:AFTER[Squad] //
{
	@TechRequired = construction1
}",Coupling,
Separator.0,construction,1,Squad,"@PART[Separator.0]:AFTER[Squad] //
{
	@TechRequired = construction1
}",Coupling,
noseCone,construction,1,Squad,"@PART[noseCone]:AFTER[Squad] //
{
	@TechRequired = construction1
}",Aero,
pointyNoseConeA,construction,1,Squad,"@PART[pointyNoseConeA]:AFTER[Squad] //
{
	@TechRequired = construction1
}",Aero,
fairingSize1,construction,1,Squad,"@PART[fairingSize1]:AFTER[Squad] //
{
	@TechRequired = construction1
}",Payload,
launchClamp1,construction,1,Squad,"@PART[launchClamp1]:AFTER[Squad] //
{
	@TechRequired = construction1
}",Structural,
Decoupler.1,construction,2,Squad,"@PART[Decoupler.1]:AFTER[Squad] //
{
	@TechRequired = construction2
}",Coupling,
Separator.1,construction,2,Squad,"@PART[Separator.1]:AFTER[Squad] //
{
	@TechRequired = construction2
}",Coupling,
adapterSmallMiniShort,construction,2,Squad,"@PART[adapterSmallMiniShort]:AFTER[Squad] //
{
	@TechRequired = construction2
}",Structural,
adapterSmallMiniTall,construction,2,Squad,"@PART[adapterSmallMiniTall]:AFTER[Squad] //
{
	@TechRequired = construction2
}",Structural,
pointyNoseConeB,construction,3,Squad,"@PART[pointyNoseConeB]:AFTER[Squad] //
{
	@TechRequired = construction3
}",Aero,
radialDecoupler,construction,3,Squad,"@PART[radialDecoupler]:AFTER[Squad] //
{
	@TechRequired = construction3
}",Coupling,
ServiceBay.125.v2,construction,3,Squad,"@PART[ServiceBay.125.v2]:AFTER[Squad] //
{
	@TechRequired = construction3
}",Payload,
Decoupler.2,construction,5,Squad,"@PART[Decoupler.2]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Coupling,
Separator.2,construction,5,Squad,"@PART[Separator.2]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Coupling,
rocketNoseCone.v3,construction,5,Squad,"@PART[rocketNoseCone.v3]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Aero,
radialDecoupler1-2,construction,5,Squad,"@PART[radialDecoupler1-2]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Coupling,
fairingSize2,construction,5,Squad,"@PART[fairingSize2]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Payload,
adapterLargeSmallBi,construction,5,Squad,"@PART[adapterLargeSmallBi]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
adapterLargeSmallQuad,construction,5,Squad,"@PART[adapterLargeSmallQuad]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
adapterLargeSmallTri,construction,5,Squad,"@PART[adapterLargeSmallTri]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
structuralIBeam2,construction,5,Squad,"@PART[structuralIBeam2]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
structuralIBeam3,construction,5,Squad,"@PART[structuralIBeam3]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
structuralIBeam1,construction,5,Squad,"@PART[structuralIBeam1]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
structuralMiniNode,construction,5,Squad,"@PART[structuralMiniNode]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
structuralPanel1,construction,5,Squad,"@PART[structuralPanel1]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
structuralPanel2,construction,5,Squad,"@PART[structuralPanel2]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
smallHardpoint,construction,5,Squad,"@PART[smallHardpoint]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
largeAdapter,construction,5,Squad,"@PART[largeAdapter]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
largeAdapter2,construction,5,Squad,"@PART[largeAdapter2]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
stackBiCoupler.v2,construction,5,Squad,"@PART[stackBiCoupler.v2]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
stackQuadCoupler,construction,5,Squad,"@PART[stackQuadCoupler]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
stackTriCoupler.v2,construction,5,Squad,"@PART[stackTriCoupler.v2]:AFTER[Squad] //
{
	@TechRequired = construction5
}",Structural,
evaRepairKit,construction,6,Squad,"@PART[evaRepairKit]:AFTER[Squad] //
{
	@TechRequired = construction6
}",Cargo,
ServiceBay.250.v2,construction,6,Squad,"@PART[ServiceBay.250.v2]:AFTER[Squad] //
{
	@TechRequired = construction6
}",Payload,
strutCube,construction,6,Squad,"@PART[strutCube]:AFTER[Squad] //
{
	@TechRequired = construction6
}",Structural,
strutOcto,construction,6,Squad,"@PART[strutOcto]:AFTER[Squad] //
{
	@TechRequired = construction6
}",Structural,
trussAdapter,construction,6,Squad,"@PART[trussAdapter]:AFTER[Squad] //
{
	@TechRequired = construction6
}",Structural,
trussPiece1x,construction,6,Squad,"@PART[trussPiece1x]:AFTER[Squad] //
{
	@TechRequired = construction6
}",Structural,
trussPiece3x,construction,6,Squad,"@PART[trussPiece3x]:AFTER[Squad] //
{
	@TechRequired = construction6
}",Structural,
Decoupler.3,construction,7,Squad,"@PART[Decoupler.3]:AFTER[Squad] //
{
	@TechRequired = construction7
}",Coupling,
Separator.3,construction,7,Squad,"@PART[Separator.3]:AFTER[Squad] //
{
	@TechRequired = construction7
}",Coupling,
rocketNoseConeSize3,construction,7,Squad,"@PART[rocketNoseConeSize3]:AFTER[Squad] //
{
	@TechRequired = construction7
}",Aero,
radialDecoupler2,construction,7,Squad,"@PART[radialDecoupler2]:AFTER[Squad] //
{
	@TechRequired = construction7
}",Coupling,
fairingSize3,construction,7,Squad,"@PART[fairingSize3]:AFTER[Squad] //
{
	@TechRequired = construction7
}",Payload,
stackPoint1,construction,,Squad,"@PART[stackPoint1]:AFTER[Squad] //
{
	@TechRequired = construction
}",Structural,
winglet,control,1,Squad,"@PART[winglet]:AFTER[Squad] //
{
	@TechRequired = control1
}",Aero,
probeStackSmall,control,2,Squad,"@PART[probeStackSmall]:AFTER[Squad] //
{
	@TechRequired = control2
}",Pods,
sasModule,control,3,Squad,"@PART[sasModule]:AFTER[Squad] //
{
	@TechRequired = control3
}",Control,
RCSblock.01.small,control,3,Squad,"@PART[RCSblock.01.small]:AFTER[Squad] //
{
	@TechRequired = control3
}",Control,
RCSLinearSmall,control,3,Squad,"@PART[RCSLinearSmall]:AFTER[Squad] //
{
	@TechRequired = control3
}",Control,
R8winglet,control,3,Squad,"@PART[R8winglet]:AFTER[Squad] //
{
	@TechRequired = control3
}",Aero,
advSasModule,control,4,Squad,"@PART[advSasModule]:AFTER[Squad] //
{
	@TechRequired = control4
}",Control,
linearRcs,control,5,Squad,"@PART[linearRcs]:AFTER[Squad] //
{
	@TechRequired = control5
}",Control,
RCSBlock.v2,control,5,Squad,"@PART[RCSBlock.v2]:AFTER[Squad] //
{
	@TechRequired = control5
}",Control,
winglet3,control,5,Squad,"@PART[winglet3]:AFTER[Squad] //
{
	@TechRequired = control5
}",Aero,
probeStackLarge,control,5,Squad,"@PART[probeStackLarge]:AFTER[Squad] //
{
	@TechRequired = control5
}",Pods,
avionicsNoseCone,control,6,Squad,"@PART[avionicsNoseCone]:AFTER[Squad] //
{
	@TechRequired = control6
}",Control,
asasmodule1-2,control,6,Squad,"@PART[asasmodule1-2]:AFTER[Squad] //
{
	@TechRequired = control6
}",Control,
vernierEngine,control,7,Squad,"@PART[vernierEngine]:AFTER[Squad] //
{
	@TechRequired = control7
}",Control,
mk2DroneCore,control,9,Squad,"@PART[mk2DroneCore]:AFTER[Squad] //
{
	@TechRequired = control9
}",Pods,
Size3EngineCluster,cryo,8,Squad,"@PART[Size3EngineCluster]:AFTER[Squad] //
{
	@TechRequired = cryo8
}",Engine,
Size3AdvancedEngine,cryo,9,Squad,"@PART[Size3AdvancedEngine]:AFTER[Squad] //
{
	@TechRequired = cryo9
}",Engine,
rocketNoseCone.v2,debug,,Squad,"@PART[rocketNoseCone.v2]:AFTER[Squad] //
{
	@TechRequired = debug
}",none,
adapterEngines,debug,,Squad,"@PART[adapterEngines]:AFTER[Squad] //
{
	@TechRequired = debug
}",Structural,
smallRadialEngine,debug,,Squad,"@PART[smallRadialEngine]:AFTER[Squad] //
{
	@TechRequired = debug
}",none,
liquidEngine,debug,,Squad,"@PART[liquidEngine]:AFTER[Squad] //
{
	@TechRequired = debug
}",none,
liquidEngine2,debug,,Squad,"@PART[liquidEngine2]:AFTER[Squad] //
{
	@TechRequired = debug
}",none,
Size2LFB,debug,,Squad,"@PART[Size2LFB]:AFTER[Squad] //
{
	@TechRequired = debug
}",none,
PotatoComet,debug,,Squad,"@PART[PotatoComet]:AFTER[Squad] //
{
	@TechRequired = debug
}",none,
PotatoRoid,debug,,Squad,"@PART[PotatoRoid]:AFTER[Squad] //
{
	@TechRequired = debug
}",none,
HighGainAntenna5,debug,,Squad,"@PART[HighGainAntenna5]:AFTER[Squad] //
{
	@TechRequired = debug
}",none,
spotLight1,debug,,Squad,"@PART[spotLight1]:AFTER[Squad] //
{
	@TechRequired = debug
}",none,
spotLight2,debug,,Squad,"@PART[spotLight2]:AFTER[Squad] //
{
	@TechRequired = debug
}",none,
mk2LanderCabin,debug,,Squad,"@PART[mk2LanderCabin]:AFTER[Squad] //
{
	@TechRequired = debug
}",none,
science.module,debug,,Squad,"@PART[science.module]:AFTER[Squad] //
{
	@TechRequired = debug
}",Science,
domeLight1,electrics,1,Squad,"@PART[domeLight1]:AFTER[Squad] //
{
	@TechRequired = electrics1
}",Utility,
navLight1,electrics,1,Squad,"@PART[navLight1]:AFTER[Squad] //
{
	@TechRequired = electrics1
}",Utility,
batteryPack,electrics,3,Squad,"@PART[batteryPack]:AFTER[Squad] //
{
	@TechRequired = electrics3
}",Electrical,
batteryBankMini,electrics,4,Squad,"@PART[batteryBankMini]:AFTER[Squad] //
{
	@TechRequired = electrics4
}",Electrical,
ksp.r.largeBatteryPack,electrics,5,Squad,"@PART[ksp.r.largeBatteryPack]:AFTER[Squad] //
{
	@TechRequired = electrics5
}",Electrical,
FuelCell,electrics,5,Squad,"@PART[FuelCell]:AFTER[Squad] //
{
	@TechRequired = electrics5
}",Electrical,
batteryBank,electrics,6,Squad,"@PART[batteryBank]:AFTER[Squad] //
{
	@TechRequired = electrics6
}",Electrical,
spotLight3,electrics,7,Squad,"@PART[spotLight3]:AFTER[Squad] //
{
	@TechRequired = electrics7
}",Utility,
stripLight1,electrics,7,Squad,"@PART[stripLight1]:AFTER[Squad] //
{
	@TechRequired = electrics7
}",Utility,
spotLight1.v2,electrics,7,Squad,"@PART[spotLight1.v2]:AFTER[Squad] //
{
	@TechRequired = electrics7
}",Utility,
spotLight2.v2,electrics,7,Squad,"@PART[spotLight2.v2]:AFTER[Squad] //
{
	@TechRequired = electrics7
}",Utility,
batteryBankLarge,electrics,8,Squad,"@PART[batteryBankLarge]:AFTER[Squad] //
{
	@TechRequired = electrics8
}",Electrical,
groundLight1,electrics,9,Squad,"@PART[groundLight1]:AFTER[Squad] //
{
	@TechRequired = electrics9
}",Cargo,
groundLight2,electrics,9,Squad,"@PART[groundLight2]:AFTER[Squad] //
{
	@TechRequired = electrics9
}",Cargo,
FuelCellArray,electrics,9,Squad,"@PART[FuelCellArray]:AFTER[Squad] //
{
	@TechRequired = electrics9
}",Electrical,
liquidEngineMini.v2,hypergol,2,Squad,"@PART[liquidEngineMini.v2]:AFTER[Squad] //
{
	@TechRequired = hypergol2
}",Engine,
liquidEngine3.v2,hypergol,3,Squad,"@PART[liquidEngine3.v2]:AFTER[Squad] //
{
	@TechRequired = hypergol3
}",Engine,
microEngine.v2,hypergol,4,Squad,"@PART[microEngine.v2]:AFTER[Squad] //
{
	@TechRequired = hypergol4
}",Engine,
smallRadialEngine.v2,hypergol,7,Squad,"@PART[smallRadialEngine.v2]:AFTER[Squad] //
{
	@TechRequired = hypergol7
}",Engine,
omsEngine,hypergol,9,Squad,"@PART[omsEngine]:AFTER[Squad] //
{
	@TechRequired = hypergol9
}",Engine,
liquidEngine2-2.v2,hypergol,?,Squad,"@PART[liquidEngine2-2.v2]:AFTER[Squad] //
{
	@TechRequired = hypergol?
}",Engine,
ionEngine,ions,7,Squad,"@PART[ionEngine]:AFTER[Squad] //
{
	@TechRequired = ions7
}",Engine,
xenonTank,ions,7,Squad,"@PART[xenonTank]:AFTER[Squad] //
{
	@TechRequired = ions7
}",FuelTank,
xenonTankRadial,ions,7,Squad,"@PART[xenonTankRadial]:AFTER[Squad] //
{
	@TechRequired = ions7
}",FuelTank,
xenonTankLarge,ions,8,Squad,"@PART[xenonTankLarge]:AFTER[Squad] //
{
	@TechRequired = ions8
}",FuelTank,
smallClaw,isru,9,Squad,"@PART[smallClaw]:AFTER[Squad] //
{
	@TechRequired = isru9
}",Coupling,
MiniDrill,isru,9,Squad,"@PART[MiniDrill]:AFTER[Squad] //
{
	@TechRequired = isru9
}",Utility,
MiniISRU,isru,9,Squad,"@PART[MiniISRU]:AFTER[Squad] //
{
	@TechRequired = isru9
}",Utility,
